frame_id,accepted_step,attempt,iterations,load_factor,pseudo_time,residual_norm,reference_residual_norm,increment_norm,arc_length_radius,monitor_displacement,monitor_reaction
0,1,1,6,0.025000000000000001,1,2.962388390005687e-10,1,6.0679757034745346e-11,0,-0.005000000000000001,499.51247419676486
1,2,2,7,0.050000000000000003,2,1.1776662512999899e-10,1,4.8234948208853097e-09,0,-0.010000000000000002,972.20782389759677
2,3,3,5,0.075000000000000011,3,8.7274875959366755e-10,1,1.583103226691529e-05,0,-0.015000000000000003,1338.3564922352969
3,4,4,5,0.10000000000000001,4,9.5128206258842802e-11,1,2.1041412414876468e-08,0,-0.020000000000000004,1512.4924778073919
4,5,5,4,0.125,5,1.0421037097593274e-10,1,6.007024067947134e-06,0,-0.025000000000000001,1583.7545182646134
5,6,6,4,0.14999999999999999,6,2.2370845565535182e-10,1,7.9365939521404055e-06,0,-0.029999999999999999,1620.3118944915532
6,7,7,4,0.1875,7,3.6278640813656916e-10,1,1.2002113308664353e-05,0,-0.037500000000000006,1651.3453040603154
7,8,8,4,0.23749999999999999,8,3.5787571857173641e-10,1,1.3723813430855638e-05,0,-0.047500000000000001,1675.1769363862816
8,9,9,4,0.28749999999999998,9,4.4557289738026089e-11,1,2.7540891152992873e-06,0,-0.057499999999999996,1690.5045784877912
9,10,10,4,0.33749999999999997,10,2.6699880936395153e-11,1,4.4091962350361817e-07,0,-0.067499999999999991,1701.6206863955599
10,11,11,4,0.38749999999999996,11,3.3326979012532294e-11,1,9.9051052680477333e-08,0,-0.077499999999999999,1710.2711764655546
11,12,12,4,0.43749999999999994,12,2.3665495869266061e-11,1,2.8377109322988315e-08,0,-0.087499999999999994,1717.3143223727113
12,13,13,4,0.48749999999999993,13,3.2745540417667383e-11,1,9.534729118008609e-09,0,-0.097499999999999989,1723.2294500086189
13,14,14,4,0.53749999999999998,14,1.7954942664871607e-11,1,3.6864966261091435e-09,0,-0.1075,1728.3099763095324
14,15,15,4,0.58750000000000002,15,1.6192876182349782e-11,1,1.7220324127801231e-09,0,-0.11750000000000001,1732.7482879528247
15,16,16,4,0.63750000000000007,16,2.0151857442534256e-11,1,7.4904521408633083e-10,0,-0.12750000000000003,1736.6773817371386
16,17,17,4,0.68750000000000011,17,1.6293535681250916e-11,1,3.630843362853838e-10,0,-0.13750000000000004,1740.1931066981062
17,18,18,4,0.73750000000000016,18,1.0635059499577157e-11,1,2.2528625460284347e-10,0,-0.14750000000000005,1743.3668777722937
18,19,19,4,0.7875000000000002,19,1.6678076290359386e-11,1,1.8811875253202646e-10,0,-0.15750000000000006,1746.2533675553086
19,20,20,3,0.83750000000000024,20,8.2812850672915771e-11,1,1.0444325541446148e-05,0,-0.16750000000000007,1748.8953772457839
20,21,21,3,0.88750000000000029,21,4.8373978324329995e-11,1,8.1764789727336838e-06,0,-0.17750000000000007,1751.3270479144503
21,22,22,3,0.93750000000000033,22,3.0365682768051322e-11,1,6.4970397790792249e-06,0,-0.18750000000000008,1753.5760460695319
22,23,23,3,0.98750000000000038,23,1.8957115540543383e-11,1,5.2308204950581855e-06,0,-0.19750000000000009,1755.6651005176909
23,24,24,3,1,24,8.2096813799381497e-12,1,1.111542169460128e-07,0,-0.20000000000000001,1756.1646585622495
