frame_id,accepted_step,attempt,iterations,load_factor,pseudo_time,reference_point_id,reference_x,reference_y,reference_z,u1,u2,u3,ur1,ur2,ur3,rf1,rf2,rf3,rm1,rm2,rm3,applied_f1,applied_f2,applied_f3,applied_m1,applied_m2,applied_m3
0,1,1,6,0.025000000000000001,1,900000,200,50,0,-0.005000000000000001,0,0,0,0,0,-499.51247419676486,0.0040191339083648359,-0.00085898265468700719,-0.10307065539517879,-55.604211598113849,0.4422368757896038,0,0,0,0,0,0
1,2,2,7,0.050000000000000003,2,900000,200,50,0,-0.010000000000000002,0,0,0,0,0,-972.20782389759677,0.018602285263320084,-0.0024572015388361068,-0.26877099397761839,-150.49759403268135,1.7888173084706978,0,0,0,0,0,0
2,3,3,5,0.075000000000000011,3,900000,200,50,0,-0.015000000000000003,0,0,0,0,0,-1338.3564922352969,0.079242568339509489,-0.0055672873981393867,-0.59263659075423902,-331.12857664455493,5.9509231516699401,0,0,0,0,0,0
3,4,4,5,0.10000000000000001,4,900000,200,50,0,-0.020000000000000004,0,0,0,0,0,-1512.4924778073919,0.22735467539003196,-0.0095266716544495367,-1.1019527405278211,-567.31469665909913,10.656221882630234,0,0,0,0,0,0
4,5,5,4,0.125,5,900000,200,50,0,-0.025000000000000001,0,0,0,0,0,-1583.7545182646134,0.42296190581124904,-0.012863535910656143,-1.6897814255369781,-776.71079058842633,9.2966055635256453,0,0,0,0,0,0
5,6,6,4,0.14999999999999999,6,900000,200,50,0,-0.029999999999999999,0,0,0,0,0,-1620.3118944915532,0.63342693871242517,-0.015509722265523607,-2.3201120588691708,-953.41493196756733,1.9891369088954889,0,0,0,0,0,0
6,7,7,4,0.1875,7,900000,200,50,0,-0.037500000000000006,0,0,0,0,0,-1651.3453040603154,0.9566376395485463,-0.018583658446814866,-3.3340732108015061,-1176.9163992442757,-16.012876941422746,0,0,0,0,0,0
7,8,8,4,0.23749999999999999,8,900000,200,50,0,-0.047500000000000001,0,0,0,0,0,-1675.1769363862816,1.3881657140136312,-0.021597781985188469,-4.8021648034838904,-1426.188081765152,-47.01691737816509,0,0,0,0,0,0
8,9,9,4,0.28749999999999998,9,900000,200,50,0,-0.057499999999999996,0,0,0,0,0,-1690.5045784877912,1.8145900966852722,-0.023807798118674839,-6.387980754634782,-1640.30409550681,-81.812619176731005,0,0,0,0,0,0
9,10,10,4,0.33749999999999997,10,900000,200,50,0,-0.067499999999999991,0,0,0,0,0,-1701.6206863955599,2.2338754898055768,-0.025469802582380296,-8.076725190092418,-1830.7373567629625,-118.29103332259865,0,0,0,0,0,0
10,11,11,4,0.38749999999999996,11,900000,200,50,0,-0.077499999999999999,0,0,0,0,0,-1710.2711764655546,2.6453360116795608,-0.026733528510547444,-9.8557620667169203,-2003.886710256611,-155.44295668846007,0,0,0,0,0,0
11,12,12,4,0.43749999999999994,12,900000,200,50,0,-0.087499999999999994,0,0,0,0,0,-1717.3143223727113,3.0487707658575616,-0.027695137566073669,-11.714422926753855,-2163.7230080229538,-192.73823165119802,0,0,0,0,0,0
12,13,13,4,0.48749999999999993,13,900000,200,50,0,-0.097499999999999989,0,0,0,0,0,-1723.2294500086189,3.4441873555428373,-0.028420512072411697,-13.64366044678809,-2312.9027451509464,-229.87903782981493,0,0,0,0,0,0
13,14,14,4,0.53749999999999998,14,900000,200,50,0,-0.1075,0,0,0,0,0,-1728.3099763095324,3.83169245676077,-0.028956842104886249,-15.635735389247998,-2453.3040194990595,-266.69030972529754,0,0,0,0,0,0
14,15,15,4,0.58750000000000002,15,900000,200,50,0,-0.11750000000000001,0,0,0,0,0,-1732.7482879528247,4.2114420718132948,-0.029339184329169044,-17.683964014035951,-2586.3117340428535,-303.0662864449796,0,0,0,0,0,0
15,16,16,4,0.63750000000000007,16,900000,200,50,0,-0.12750000000000003,0,0,0,0,0,-1736.6773817371386,4.5836166651300658,-0.029594315102855262,-19.782522235178362,-2712.9814891512888,-338.94245621594791,0,0,0,0,0,0
16,17,17,4,0.68750000000000011,17,900000,200,50,0,-0.13750000000000004,0,0,0,0,0,-1740.1931066981062,4.9484078850929123,-0.029743096807056446,-21.926294247895612,-2834.1396339122452,-374.27991355257927,0,0,0,0,0,0
17,18,18,4,0.73750000000000016,18,900000,200,50,0,-0.14750000000000005,0,0,0,0,0,-1743.3668777722937,5.3060111362007802,-0.029802144404611042,-24.110755836451517,-2950.4473931378416,-409.05622501025346,0,0,0,0,0,0
18,19,19,4,0.7875000000000002,19,900000,200,50,0,-0.15750000000000006,0,0,0,0,0,-1746.2533675553086,5.6566213511447643,-0.029784858587335705,-26.331879426419277,-3062.4436502936769,-443.25976860890569,0,0,0,0,0,0
19,20,20,3,0.83750000000000024,20,900000,200,50,0,-0.16750000000000007,0,0,0,0,0,-1748.8953772457839,6.0004305201076278,-0.029702200888989339,-28.586060348907836,-3170.5744626749029,-476.88620228533773,0,0,0,0,0,0
20,21,21,3,0.88750000000000029,21,900000,200,50,0,-0.17750000000000007,0,0,0,0,0,-1751.3270479144503,6.3376262461503003,-0.029563262203714302,-30.870058228803828,-3275.2140112676429,-509.9361851177141,0,0,0,0,0,0
21,22,22,3,0.93750000000000033,22,900000,200,50,0,-0.18750000000000008,0,0,0,0,0,-1753.5760460695319,6.6683909780629165,-0.029375643617404634,-33.180946047895191,-3376.6798372569133,-542.41377911670315,0,0,0,0,0,0
22,23,23,3,0.98750000000000038,23,900000,200,50,0,-0.19750000000000009,0,0,0,0,0,-1755.6651005176909,6.9929015848783962,-0.029145731547815856,-35.516070948461902,-3475.2441626025893,-574.32542369848079,0,0,0,0,0,0
23,24,24,3,1,24,900000,200,50,0,-0.20000000000000001,0,0,0,0,0,-1756.1646585622495,7.0730722089991005,-0.029082304824745719,-36.10335174317288,-3499.4601852092264,-582.21582638135169,0,0,0,0,0,0
