frame_id,accepted_step,attempt,iterations,load_factor,pseudo_time,residual_norm,reference_residual_norm,increment_norm,arc_length_radius,monitor_displacement,monitor_reaction
0,1,1,6,0.025000000000000001,1,2.9516563560454942e-10,1,5.2130054950386694e-11,0,-0.005000000000000001,499.51247419374653
1,2,2,7,0.050000000000000003,2,9.0398399262271565e-11,1,4.7801779771042363e-09,0,-0.010000000000000002,972.20782388949408
2,3,3,5,0.075000000000000011,3,8.3727193362698914e-10,1,1.5830936193612067e-05,0,-0.015000000000000003,1338.3564922403202
3,4,4,5,0.10000000000000001,4,1.1322204991934554e-10,1,2.1099619159771525e-08,0,-0.020000000000000004,1512.4924778697257
4,5,5,4,0.125,5,8.6485656403406036e-11,1,6.0069474882829034e-06,0,-0.025000000000000001,1583.7545182522417
5,6,6,4,0.14999999999999999,6,2.1398461797476782e-10,1,7.9366161669492672e-06,0,-0.029999999999999999,1620.3118945602178
6,7,7,4,0.1875,7,3.8743878516230232e-10,1,1.2002153488706816e-05,0,-0.037500000000000006,1651.3453039332019
7,8,8,4,0.23749999999999999,8,3.7104458455181901e-10,1,1.372377388395181e-05,0,-0.047500000000000001,1675.1769365219498
8,9,9,4,0.28749999999999998,9,5.3618286880939059e-11,1,2.7541265986419381e-06,0,-0.057499999999999996,1690.5045785212478
9,10,10,4,0.33749999999999997,10,3.0106839747715333e-11,1,4.4094139512664573e-07,0,-0.067499999999999991,1701.6206864441665
10,11,11,4,0.38749999999999996,11,3.5449212303190415e-11,1,9.9148950855418614e-08,0,-0.077499999999999999,1710.2711765716319
11,12,12,4,0.43749999999999994,12,3.253417312966866e-11,1,2.8224352681009922e-08,0,-0.087499999999999994,1717.3143221391495
12,13,13,4,0.48749999999999993,13,1.9082510428967324e-11,1,9.6072641799608791e-09,0,-0.097499999999999989,1723.229450124345
13,14,14,4,0.53749999999999998,14,1.776951418377508e-11,1,3.6523071595901042e-09,0,-0.1075,1728.3099763162086
14,15,15,4,0.58750000000000002,15,1.5981548681996034e-11,1,1.7115285486962107e-09,0,-0.11750000000000001,1732.748288032484
15,16,16,4,0.63750000000000007,16,1.548424716663535e-11,1,7.8303498944678536e-10,0,-0.12750000000000003,1736.6773817959015
16,17,17,4,0.68750000000000011,17,1.2707664725897543e-11,1,3.9015831068960982e-10,0,-0.13750000000000004,1740.1931068486922
17,18,18,4,0.73750000000000016,18,1.5433244701105841e-11,1,2.6163038197016068e-10,0,-0.14750000000000005,1743.3668776664385
18,19,19,4,0.7875000000000002,19,1.5480296337963197e-11,1,1.5441710619083307e-10,0,-0.15750000000000006,1746.2533676920468
19,20,20,3,0.83750000000000024,20,8.1374146990135337e-11,1,1.0444342634735202e-05,0,-0.16750000000000007,1748.8953772381456
20,21,21,3,0.88750000000000029,21,5.0468167463723716e-11,1,8.1764626333779866e-06,0,-0.17750000000000007,1751.3270479103714
21,22,22,3,0.93750000000000033,22,3.0363126007044471e-11,1,6.4970125992920056e-06,0,-0.18750000000000008,1753.5760462113019
22,23,23,3,0.98750000000000038,23,1.971755679760471e-11,1,5.230811298098023e-06,0,-0.19750000000000009,1755.6651005209712
23,24,24,3,1,24,1.6486141974363406e-11,1,1.1115558306778486e-07,0,-0.20000000000000001,1756.1646584778216
