frame_id,accepted_step,attempt,iterations,load_factor,pseudo_time,reference_point_id,reference_x,reference_y,reference_z,u1,u2,u3,ur1,ur2,ur3,rf1,rf2,rf3,rm1,rm2,rm3,applied_f1,applied_f2,applied_f3,applied_m1,applied_m2,applied_m3
0,1,1,6,0.025000000000000001,1,900000,200,50,0,-0.005000000000000001,0,0,0,0,0,-499.51247419374653,0.0040191340168629353,-0.00085898276360893422,-0.10307065740786037,-55.604211605627349,0.44223685322640449,0,0,0,0,0,0
1,2,2,7,0.050000000000000003,2,900000,200,50,0,-0.010000000000000002,0,0,0,0,0,-972.20782388949408,0.018602285504289995,-0.0024572016579310629,-0.26877099685913564,-150.497594044013,1.7888172202019632,0,0,0,0,0,0
2,3,3,5,0.075000000000000011,3,900000,200,50,0,-0.015000000000000003,0,0,0,0,0,-1338.3564922403202,0.07924256841920041,-0.005567287339699023,-0.59263659583658779,-331.12857663989075,5.9509230156922968,0,0,0,0,0,0
3,4,4,5,0.10000000000000001,4,900000,200,50,0,-0.020000000000000004,0,0,0,0,0,-1512.4924778697257,0.22735467524859843,-0.0095266711763239975,-1.1019527377211773,-567.31469663041537,10.656221993275722,0,0,0,0,0,0
4,5,5,4,0.125,5,900000,200,50,0,-0.025000000000000001,0,0,0,0,0,-1583.7545182522417,0.42296190586475291,-0.012863536039502854,-1.6897814379017575,-776.71079059258227,9.2966050428522067,0,0,0,0,0,0
5,6,6,4,0.14999999999999999,6,900000,200,50,0,-0.029999999999999999,0,0,0,0,0,-1620.3118945602178,0.63342693869928013,-0.015509721622473993,-2.3201120709646261,-953.41493195356293,1.9891363836636629,0,0,0,0,0,0
6,7,7,4,0.1875,7,900000,200,50,0,-0.037500000000000006,0,0,0,0,0,-1651.3453039332019,0.95663763903372256,-0.018583659982705392,-3.3340732595360407,-1176.9163992632798,-16.012879048708328,0,0,0,0,0,0
7,8,8,4,0.23749999999999999,8,900000,200,50,0,-0.047500000000000001,0,0,0,0,0,-1675.1769365219498,1.3881657128266625,-0.021597780210024453,-4.8021648637854355,-1426.1880817598521,-47.016919871214668,0,0,0,0,0,0
8,9,9,4,0.28749999999999998,9,900000,200,50,0,-0.057499999999999996,0,0,0,0,0,-1690.5045785212478,1.8145900950280165,-0.023807797648912832,-6.3879808598467775,-1640.3040955087124,-81.812623358711335,0,0,0,0,0,0
9,10,10,4,0.33749999999999997,10,900000,200,50,0,-0.067499999999999991,0,0,0,0,0,-1701.6206864441665,2.2338754898087885,-0.025469801562397087,-8.0767251729290592,-1830.73735675833,-118.29103267267965,0,0,0,0,0,0
